FID,aminity,lat,lon,name,addressline,type,info
budovy_ksk.2,Shop,48.7062147,21.2473172, , ,commercial,"{""web"": ""none""}"
budovy_ksk.10,School,48.716165,21.207808, , ,school,"{""web"": ""none""}"
budovy_ksk.11,School,48.7163273,21.2083618, , ,school,"{""web"": ""none""}"
budovy_ksk.12,School,48.7162845,21.2088088, , ,school,"{""web"": ""none""}"
budovy_ksk.25,Transport,48.7161882,21.2124556, , ,parking,"{""web"": ""none""}"
budovy_ksk.32,School,48.7224721,21.2465165, , ,school,"{""web"": ""none""}"
budovy_ksk.39,Job,48.6953965,21.2857763, , ,industrial,"{""web"": ""none""}"
budovy_ksk.41,Shop,48.7412721,21.2657942,Tesco Extra, ,retail,"{""web"": ""none""}"
budovy_ksk.44,Shop,48.7254741,21.2557062,OD Urban, ,retail,"{""web"": ""none""}"
budovy_ksk.45,Shop,48.6958254,21.2360247,Atrium Optima, ,retail,"{""web"": ""none""}"
budovy_ksk.91,Shop,48.7258391,21.2464934, , ,commercial,"{""web"": ""none""}"
budovy_ksk.156,Shop,48.7307003,21.2420587,OC Merkúr, ,retail,"{""web"": ""none""}"
budovy_ksk.321,School,48.7155917,21.2087202, , ,school,"{""web"": ""none""}"
budovy_ksk.322,School,48.7155429,21.2091663, , ,school,"{""web"": ""none""}"
budovy_ksk.323,School,48.715401,21.20809, , ,school,"{""web"": ""none""}"
budovy_ksk.359,Shop,48.7288717,21.2581128,Jumbo Centrum, ,commercial,"{""web"": ""none""}"
budovy_ksk.643,School,48.7247998,21.2514949,Gymnázium sv. Tomáša Akvinského a školský internát, ,school,"{""web"": ""none""}"
budovy_ksk.649,School,48.7248072,21.2520321, , ,school,"{""web"": ""none""}"
budovy_ksk.705,School,48.7229189,21.2536315, , ,school,"{""web"": ""none""}"
budovy_ksk.733,Shop,48.7212685,21.2499212,Rozhlas a televízia Slovenska, ,commercial,"{""web"": ""none""}"
budovy_ksk.763,School,48.7186154,21.2505641, , ,school,"{""web"": ""none""}"
budovy_ksk.769,School,48.7183506,21.2506853,Gymnázium a Záklandá Školda Sándora Máraiho s vyučovacím jazykom maďarským, ,school,"{""web"": ""none""}"
budovy_ksk.2116,Shop,48.7215407,21.2548742,"UNIQA poisťovňa, a.s.", ,commercial,"{""web"": ""none""}"
budovy_ksk.2210,Job,48.7265686,21.2557267,Dom služieb, ,office,"{""web"": ""none""}"
budovy_ksk.2212,School,48.7261373,21.2553287, , ,school,"{""web"": ""none""}"
budovy_ksk.2213,Shop,48.7257154,21.2566552, , ,retail,"{""web"": ""none""}"
budovy_ksk.2263,School,48.7238768,21.258398,Základná umelecká škola – výtvarný odbor, ,school,"{""web"": ""none""}"
budovy_ksk.3983,Job,48.7193024,21.2453541,Stavebné bytové družstvo I., ,office,"{""web"": ""none""}"
budovy_ksk.4003,Job,48.7218599,21.261422, , ,office,"{""web"": ""none""}"
budovy_ksk.4017,Shop,48.7210595,21.2592592, , ,commercial,"{""web"": ""none""}"
budovy_ksk.4027,Shop,48.7214491,21.263195,"Východoslovenská energetika, a.s.", ,commercial,"{""web"": ""none""}"
budovy_ksk.4074,Shop,48.7217702,21.2619986, , ,retail,"{""web"": ""none""}"
budovy_ksk.4189,Job,48.7181076,21.2616693, , ,office,"{""web"": ""none""}"
budovy_ksk.4200,Job,48.7204019,21.2612417, , ,office,"{""web"": ""none""}"
budovy_ksk.4271,Shop,48.7200391,21.2627308, , ,retail,"{""web"": ""none""}"
